show_id;type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description;cover_url;imdb_id;tmdb_id;tmdb_popularity;tmdb_score;tmdb_votes
tmdb_362150;Movie;Vedalam;Siva;Ajith Kumar, Shruti Haasan, Lakshmi Menon, Soori, Thambi Ramaiah, Ashwin Kakumanu, Rahul Dev, Aniket Chouhan, Vidyullekha Raman, Balasaravanan;IN;2015-11-10;2015;PG-13;156 min;Action;Ganesh, a cab driver and a doting brother to his sister Tamizh, is hunting down three notorious criminals in Kolkata. Who is he actually and what's his motive?;https://image.tmdb.org/t/p/w500/cily2czYaIla7RoPQc8L1KO948e.jpg;tt5178278;362150;22.2601;5.8;54
tmdb_216015;Movie;Fifty Shades of Grey;Sam Taylor-Johnson;Dakota Johnson, Jamie Dornan, Jennifer Ehle, Eloise Mumford, Victor Rasuk, Luke Grimes, Marcia Gay Harden, Rita Ora, Max Martini, Callum Keith Rennie;US;2015-02-11;2015;PG-13;125 min;Drama, Romance, Thriller;When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.;https://image.tmdb.org/t/p/w500/63kGofUkt1Mx0SIL4XI4Z5AoSgt.jpg;tt2322441;216015;20.5557;5.874;12233
tmdb_150540;Movie;Inside Out;Pete Docter;Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader, Lewis Black, Mindy Kaling, Kaitlyn Dias, Diane Lane, Kyle MacLachlan, Paula Poundstone;US;2015-06-17;2015;PG-13;95 min;Animation, Family, Adventure, Drama, Comedy;When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.;https://image.tmdb.org/t/p/w500/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg;tt2096673;150540;18.4449;7.909;23099
tmdb_99861;Movie;Avengers: Age of Ultron;Joss Whedon;Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Jeremy Renner, James Spader, Samuel L. Jackson, Don Cheadle, Aaron Taylor-Johnson;US;2015-04-22;2015;PG-13;141 min;Action, Adventure, Science Fiction;When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.;https://image.tmdb.org/t/p/w500/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg;tt2395427;99861;16.2681;7.271;24045
tmdb_76341;Movie;Mad Max: Fury Road;George Miller;Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne, Josh Helman, Nathan Jones, Zoë Kravitz, Rosie Huntington-Whiteley, Riley Keough, Abbey Lee;AU, US;2015-05-13;2015;PG-13;121 min;Action, Adventure, Science Fiction;An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.;https://image.tmdb.org/t/p/w500/hA2ple9q4qnwxp3hKVNhroipsir.jpg;tt1392190;76341;15.3538;7.629;23689
tmdb_387824;Movie;Mom's Friend;Myeong Seok Hwan;Heo Ye-chang, Hee-jeong, Yeong Ah, Kim Woon, Jeon Ji-hak, Jo Yong-bok, Kim Mi-na, Jeon Hyeon-soo, Kim Moon-jong;KR;2015-08-20;2015;PG-13;91 min;Drama;Seong Soo, a twenty years old boy, decided to move to Seoul after being accepted into Seoul University. However, he was a victim of real estate scam. He then moves into his mother's friend's house. Moreover, it turns out that his mother's friend is a sexy self-employed mother and Seong Soo is attracted to her.;https://image.tmdb.org/t/p/w500/eLEqhVjleFUgxYWtgIgZ0gHdi3o.jpg;;387824;13.75;7.0;24
tmdb_150689;Movie;Cinderella;Kenneth Branagh;Lily James, Cate Blanchett, Richard Madden, Stellan Skarsgård, Holliday Grainger, Sophie McShera, Derek Jacobi, Helena Bonham Carter, Nonso Anozie, Ben Chaplin;GB, US;2015-03-06;2015;PG-13;105 min;Romance, Fantasy, Family, Drama;When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods.;https://image.tmdb.org/t/p/w500/j91LJmcWo16CArFOoapsz84bwxb.jpg;tt1661199;150689;12.6425;6.8;7303
tmdb_135397;Movie;Jurassic World;Colin Trevorrow;Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio, Ty Simpkins, Nick Robinson, Jake Johnson, Omar Sy, BD Wong, Judy Greer;US;2015-06-06;2015;PG-13;124 min;Action, Adventure, Science Fiction, Thriller;Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.;https://image.tmdb.org/t/p/w500/rhr4y79GpxQF9IsfJItRXVaoGs4.jpg;tt0369610;135397;12.6185;6.7;21252
tmdb_387848;Movie;Buddy's Mom;Kong Ja-kwan;Kim Young-sam, Ah Ri, Kim Hae-jin, Park Cho-hyeon, Kim Jae-rok, Lee Jeong-gil, Kim Dae-beom;KR;2015-11-12;2015;PG-13;101 min;Drama, Romance;20-year-old Kyeong-soo is a man who's full of assumptions. He learned about sex from Internet porn, but nothing about the real thing. He's only had crushes and has never even kissed before. He got embarrassed when he confessed his feelings to Ji-yeon, his crush. He comforted himself from the shame with Japanese girls in his room with his right hand. One day, he has a fight with his father and remembers his friend Baek-hyeon had invited him over to Gangwon-do. There he falls in love with his friends' mother.;https://image.tmdb.org/t/p/w500/5JDVEZN0v3e9xMzZbZ92fC7HaQi.jpg;tt6571010;387848;12.6173;5.7;14
tmdb_273477;Movie;Scouts Guide to the Zombie Apocalypse;Christopher Landon;Tye Sheridan, Sarah Dumont, Logan Miller, Joey Morgan, Patrick Schwarzenegger, David Koechner, Hiram A. Murray, Cloris Leachman, Halston Sage, Blake Anderson;US;2015-10-23;2015;PG-13;93 min;Comedy, Horror;Three scouts and lifelong friends join forces with one badass cocktail waitress to become the world’s most unlikely team of heroes.  When their peaceful town is ravaged by a zombie invasion, they’ll fight for the badge of a lifetime and put their scouting skills to the test to save mankind from the undead.;https://image.tmdb.org/t/p/w500/lUKvvSnjFlazrdh6wyHxHrdMknD.jpg;tt1727776;273477;12.3705;6.559;2068
